clr_ratio,sensattr,arch,adv_coeff,g_y_ratio,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.5, 0.5)",bck,cfair,0.1,"(0.75, 0.25)",0.9867120726495727,0.9403712606837606,0.9165998931623931,0.9677138292960862,0.9836129803801086
"(0.5, 0.5)",bck,cfair,0.1,"(0.9, 0.1)",0.9561298076923078,0.8754674145299145,0.8231169871794872,0.9371357047284551,0.9476208803128259
"(0.5, 0.5)",bck,cfair,1.0,"(0.5, 0.5)",0.9693509615384616,0.9485844017094017,0.9337606837606837,0.9654943783966649,0.973438045432872
"(0.5, 0.5)",bck,cfair,1.0,"(0.75, 0.25)",0.9739583333333334,0.9459802350427351,0.9113247863247862,0.9530979102936125,0.9779490127286482
"(0.5, 0.5)",bck,cfair,1.0,"(0.9, 0.1)",0.922142094017094,0.7723023504273504,0.7336404914529915,0.8852172502777044,0.9603379660371166
"(0.5, 0.5)",bck,cfair,10.0,"(0.5, 0.5)",0.9706196581196581,0.951388888888889,0.9300881410256411,0.9502026893898491,0.9914698015326353
"(0.5, 0.5)",bck,cfair,10.0,"(0.75, 0.25)",0.9496527777777778,0.9220753205128206,0.8835470085470085,0.9805322375373177,0.9096801154927437
"(0.5, 0.5)",bck,cfair,10.0,"(0.9, 0.1)",0.9542601495726495,0.8000133547008547,0.7530048076923078,0.9330869103058879,0.9526754497532784
"(0.5, 0.5)",bck,cfair,100.0,"(0.5, 0.5)",0.9552617521367521,0.9543936965811968,0.9193376068376069,0.9722223782651728,0.9376978424396191
"(0.5, 0.5)",bck,cfair,100.0,"(0.75, 0.25)",0.9653445512820514,0.9322248931623931,0.9040464743589743,0.9795972281778614,0.9367692644825677
"(0.5, 0.5)",bck,cfair,100.0,"(0.9, 0.1)",0.961204594017094,0.8104967948717948,0.7634882478632479,0.9370449917598919,0.943731754668217
"(0.5, 0.5)",bck,cfair,1000.0,"(0.5, 0.5)",0.9807692307692307,0.9318242521367521,0.9045138888888888,0.9823606448027605,0.955462174694888
"(0.5, 0.5)",bck,cfair,1000.0,"(0.75, 0.25)",0.9827724358974358,0.9379006410256411,0.9065838675213674,0.9530930729621466,0.9809109919624186
"(0.5, 0.5)",bck,cfair,1000.0,"(0.9, 0.1)",0.9200721153846153,0.8389423076923076,0.7916666666666666,0.8771386986725322,0.9324205023846256
"(0.5, 0.5)",color_gy,cfair,0.1,"(0.5, 0.5)",0.9971240308127096,0.9471259763669136,0.9469044279703467,0.9969767189046613,0.9970166026325034
"(0.5, 0.5)",color_gy,cfair,0.1,"(0.75, 0.25)",0.9352246287124822,0.9419854462914747,0.9356842316169104,0.941996632592077,0.927549005681036
"(0.5, 0.5)",color_gy,cfair,0.1,"(0.9, 0.1)",0.7869285750468075,0.8641431337205421,0.8781807253055499,0.7757941418337237,0.7977848474136916
