clr_ratio,sensattr,arch,fair_coeff,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.1, 0.1)",age,laftr-eqopp1,0.1,0.9504110407571247,0.6584362139917695,0.711943793911007,0.9786964736671538,0.9032006245120999
"(0.1, 0.1)",age,laftr-eqopp1,0.5,0.949460780061873,0.6543209876543209,0.7103825136612022,0.9803474358112033,0.9000780640124902
"(0.1, 0.1)",age,laftr-eqopp1,1.0,0.9340137431212113,0.6448559670781893,0.7107728337236535,0.9746139092541525,0.8758782201405153
"(0.1, 0.1)",age,laftr-eqopp1,2.0,0.9444926321064755,0.6563786008230452,0.7150663544106167,0.978005515436496,0.892271662763466
"(0.1, 0.1)",age,laftr-eqopp1,4.0,0.951191680882027,0.6576131687242798,0.7103825136612022,0.9787861555613985,0.9047619047619048
"(0.33, 0.33)",age,laftr-dp,0.1,0.943168352930453,0.6678971834837298,0.7274431057563587,0.9929735146228951,0.8859437751004017
"(0.33, 0.33)",age,laftr-dp,0.5,0.9345550646666513,0.6654361498496035,0.7317269076305221,0.9911110213415831,0.8706827309236947
"(0.33, 0.33)",age,laftr-dp,1.0,0.9471933124897731,0.6709051134809952,0.7291834002677376,0.9950193621650616,0.8910307898259706
"(0.33, 0.33)",age,laftr-dp,2.0,0.9412060053174142,0.6695378725731475,0.7313253012048193,0.9932645923172992,0.8816599732262382
"(0.33, 0.33)",age,laftr-dp,4.0,0.9420916918974779,0.6665299425758818,0.7282463186077645,0.9916898103730934,0.8827309236947792
"(0.33, 0.33)",age,laftr-eqodd,0.1,0.942402258747871,0.6683073557560842,0.7313253012048193,0.99570924098742,0.8816599732262382
"(0.33, 0.33)",age,laftr-eqodd,0.5,0.9366430446972466,0.6687175280284386,0.7318607764390898,0.9900634109503114,0.8757697456492637
"(0.33, 0.33)",age,laftr-eqodd,1.0,0.9400808044867466,0.667760459392945,0.7309236947791163,0.9916314601799207,0.8792503346720214
"(0.33, 0.33)",age,laftr-eqodd,2.0,0.9371756646492999,0.6683073557560842,0.734136546184739,0.9932879323945686,0.873627844712182
"(0.33, 0.33)",age,laftr-eqodd,4.0,0.9454615838250459,0.671862182116489,0.7315930388219544,0.9949809856918593,0.8878179384203481
"(0.33, 0.33)",age,laftr-eqopp0,0.1,0.9415622566832823,0.6724090784796282,0.734136546184739,0.992166935414191,0.8819277108433735
"(0.33, 0.33)",age,laftr-eqopp0,0.5,0.9381412991314452,0.6683073557560842,0.7329317269076304,0.9930785449706061,0.8757697456492637
"(0.33, 0.33)",age,laftr-eqopp0,1.0,0.9380327984071918,0.6666666666666666,0.7283801874163319,0.9899817206798694,0.8787148594377511
"(0.33, 0.33)",age,laftr-eqopp0,2.0,0.9506967437702684,0.6719989062072736,0.7273092369477911,0.9943438464671764,0.8974564926372155
"(0.33, 0.33)",age,laftr-eqopp0,4.0,0.942806720455791,0.6695378725731475,0.7305220883534137,0.9940561351300704,0.8840696117804553
"(0.33, 0.33)",age,laftr-eqopp1,0.1,0.9378364428454864,0.6678971834837298,0.7330655957161981,0.9932879323945684,0.8749665327978581
"(0.33, 0.33)",age,laftr-eqopp1,0.5,0.9406105691565826,0.6658463221219578,0.72904953145917,0.9941028152846086,0.8797858099062918
"(0.33, 0.33)",age,laftr-eqopp1,1.0,0.9406790959297952,0.6694011484823627,0.7325301204819277,0.9940911452459741,0.8797858099062918
"(0.33, 0.33)",age,laftr-eqopp1,2.0,0.9436670389515404,0.6711785616625651,0.7321285140562249,0.9949060281360143,0.8848728246318608
"(0.33, 0.33)",age,laftr-eqopp1,4.0,0.9388363407142378,0.6711785616625651,0.734805890227577,0.9927407871216635,0.877376171352075
"(0.5, 0.5)",age,laftr-dp,0.1,0.9620205261632835,0.6934031606027196,0.742457288258815,0.9934719187955166,0.9136677571792076
"(0.5, 0.5)",age,laftr-dp,0.5,0.9648517107340341,0.6930356486585815,0.7434569247546348,0.989737794749411,0.9151217739003998
"(0.5, 0.5)",age,laftr-dp,1.0,0.9658353161744931,0.6908305769937524,0.7395492548164304,0.9904485933360808,0.9178480552526356
"(0.5, 0.5)",age,laftr-dp,2.0,0.9659231863966878,0.6907386990077177,0.7400945110868774,0.9897256374189664,0.9173027989821882
"(0.5, 0.5)",age,laftr-dp,4.0,0.9556171214877459,0.6891767732451305,0.7446383133406034,0.99394645992721,0.900945110868775
