clr_ratio,sensattr,arch,gamma,alpha,g_y_ratio,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.5, 0.5)",bck,ffvae,100.0,1000,"(0.9, 0.1)",0.9718883547008548,0.898036858974359,0.8662526709401709,0.9902407097748842,0.9390796699515146
"(0.5, 0.5)",color_gy,ffvae,10.0,10,"(0.5, 0.5)",0.9911201936635018,0.8800988049936578,0.886128364389234,0.9907903942010261,0.9856247432852224
"(0.5, 0.5)",color_gy,ffvae,10.0,10,"(0.75, 0.25)",0.7694954596757372,0.8540623539622137,0.8433179723502304,0.7830472284942839,0.7549897644445765
"(0.5, 0.5)",color_gy,ffvae,10.0,10,"(0.9, 0.1)",0.4685493906389134,0.7207423726550504,0.7301809924530822,0.4665207664624063,0.4702724012205583
"(0.5, 0.5)",color_gy,ffvae,10.0,100,"(0.5, 0.5)",0.985577577927204,0.886507777555244,0.8946102985373673,0.9904313912741797,0.9798037460260828
"(0.5, 0.5)",color_gy,ffvae,10.0,100,"(0.75, 0.25)",0.783519715285899,0.8522598304292677,0.8489948574100047,0.7895023112568899,0.7767983799301627
"(0.5, 0.5)",color_gy,ffvae,10.0,100,"(0.9, 0.1)",0.470554762776215,0.7167367648040589,0.7339210579042277,0.4608652480277466,0.4801598156168478
"(0.5, 0.5)",color_gy,ffvae,10.0,1000,"(0.5, 0.5)",0.9963961166550823,0.8776954402830629,0.884592266078942,0.9963468253311882,0.9896559774212127
"(0.5, 0.5)",color_gy,ffvae,10.0,1000,"(0.75, 0.25)",0.7762378583606845,0.8547967154015622,0.8409136445602083,0.7927870684045696,0.7586496775166859
"(0.5, 0.5)",color_gy,ffvae,10.0,1000,"(0.9, 0.1)",0.4645462172386963,0.7113291942052206,0.7330528284244974,0.45046976744911826,0.47866979624692635
"(0.5, 0.5)",color_gy,ffvae,50.0,10,"(0.5, 0.5)",0.994860499884504,0.8899793043594366,0.8968142656782208,0.9903854626180789,0.9930720871613429
"(0.5, 0.5)",color_gy,ffvae,50.0,10,"(0.75, 0.25)",0.7964055708847928,0.8616062487482475,0.8553396113003405,0.8051582093961812,0.7868216810977536
"(0.5, 0.5)",color_gy,ffvae,50.0,10,"(0.9, 0.1)",0.4505884809895277,0.7108618732892716,0.7246376811594203,0.44454356642516407,0.456456053183043
"(0.5, 0.5)",color_gy,ffvae,50.0,100,"(0.5, 0.5)",0.996794751281327,0.880032044862808,0.886529085687571,0.9901370941776716,0.9969742619002785
"(0.5, 0.5)",color_gy,ffvae,50.0,100,"(0.75, 0.25)",0.7671571162025822,0.8489885840176247,0.8340345956054231,0.7848953497625807,0.7483558141148254
"(0.5, 0.5)",color_gy,ffvae,50.0,100,"(0.9, 0.1)",0.4901189321498371,0.7280859870485346,0.7405329593267882,0.4848181084779722,0.49519418924380226
"(0.5, 0.5)",color_gy,ffvae,50.0,1000,"(0.5, 0.5)",0.9982650792924025,0.8756258762267174,0.8833233153008749,0.9921133787626518,0.9925009002223302
"(0.5, 0.5)",color_gy,ffvae,50.0,1000,"(0.75, 0.25)",0.7583433343112603,0.8412444088390414,0.829225940025379,0.7733162830349531,0.7423972232408224
"(0.5, 0.5)",color_gy,ffvae,50.0,1000,"(0.9, 0.1)",0.4765613554026729,0.7256826223379398,0.7285781072597342,0.4808688162109951,0.47176280600676784
"(0.5, 0.5)",color_gy,ffvae,100.0,10,"(0.5, 0.5)",0.9943279169612587,0.8974564390146206,0.9066987243705337,0.9881439569487768,0.9929403298502714
"(0.5, 0.5)",color_gy,ffvae,100.0,10,"(0.75, 0.25)",0.779044753351279,0.8495226650644235,0.8448540706605222,0.7864745049145743,0.7708401194129779
"(0.5, 0.5)",color_gy,ffvae,100.0,10,"(0.9, 0.1)",0.4796347291203344,0.7247479805060418,0.7359246643959126,0.47573500153702347,0.48327491523594635
"(0.5, 0.5)",color_gy,ffvae,100.0,100,"(0.5, 0.5)",0.9819728251355812,0.8726216703384738,0.881386495692246,0.9881887933038828,0.9731266841315306
"(0.5, 0.5)",color_gy,ffvae,100.0,100,"(0.75, 0.25)",0.7650881941991879,0.8459843781293811,0.8326988579442998,0.7812140873539112,0.7479491999308453
"(0.5, 0.5)",color_gy,ffvae,100.0,100,"(0.9, 0.1)",0.5408007328606406,0.7505841511449362,0.765511253589795,0.5323268559884363,0.5491022553459993
"(0.5, 0.5)",color_gy,ffvae,100.0,1000,"(0.5, 0.5)",0.9888461758704222,0.8829694906202016,0.8836572497161558,0.9922413860363363,0.9839002806931766
"(0.5, 0.5)",color_gy,ffvae,100.0,1000,"(0.75, 0.25)",0.7918000581833735,0.8558648774951599,0.851933480264476,0.798321913586508,0.7845185985382811
"(0.5, 0.5)",color_gy,ffvae,100.0,1000,"(0.9, 0.1)",0.48203672946840737,0.7310901929367781,0.7330528284244974,0.48718325221698083,0.4763669339253327
